ID	NAME	STYLE	RANK	YEAR	AUTHOR												
																	
T001	old folks at home	early	492	1851	stephen foster												
T002	dark eyes	early	397	1884	russian folk song												
T003	when the saints go marching in	early	282	1896	louis armstrong												
T004	some of these days	early	405	1910	shelton brooks												
T005	my melancholy baby	early	164	1911	william frawley												
T006	st louis blues	early	20	1914	w. c. handy												
T007	12th street rag	early	351	1914	euday l. bowman												
T008	poor butterfly	early	196	1916	raymond hubbell												
T009	indiana	early	41	1917	james f. hanley												
T010	tiger rag	early	259	1917	original dixieland jass band												
T011	darktown strutters ball	dixieland	547	1917	shelton brooks												
T012	after you ve gone	dixieland	34	1918	turner layton												
T013	royal garden blues	early	204	1919	spencer williams 												
T014	baby wont you please come home	early	205	1919	clarence williams												
T015	indian summer	early	267	1919	victor herbert												
T016	avalon	dixieland	109	1920	al jolson												
T017	bourbon street parade	dixieland		1920	paul barbarin												
T018	the sheik of araby	musical;film;ballad	165	1921	ted snyder												
T019	the charleston	bigband;swing;charleston	988	1923	james johnson												
T020	sweet georgia brown	dixieland	16	1925	ben bernie												
T021	dinah	dixieland	134	1925	harry akst												
T022	someone to watch over me	musical;film;ballad	77	1926	george gershwin												
T023	bye bye blackbird	dixieland	126	1926	ray henderson												
T024	chloe	musical;film;ballad	441	1927	neil moret												
T025	black and tan fantasy	other	837	1927	duke ellignton												
T026	lover come back to me	musical;film;ballad	69	1928	sigmund romberg												
T027	softly as in a morning sunrise	musical;film;ballad	132	1928	sigmund romberg												
T028	basin street blues	dixieland	182	1928	spencer williams												
T029	star dust	musical;film;ballad	12	1929	hoagy carmichael												
T030	honeysuckle rose	musical;film;ballad	15	1929	fats waller												
T031	aint misbehavin	musical;film;ballad	32	1929	"harry brooks, fats waller"												
T032	black and blue	musical;film;ballad	432	1929	fats waller												
T033	body and soul	musical;film;ballad	1	1930	edward heyman												
T034	it dont mean a thing	bigband;swing;charleston		1932	duke ellignton												
T035	yesterdays	musical;film;ballad	9	1933	jerome kern												
T036	sophisticated lady	bigband;swing;charleston		1933	duke ellignton												
T037	summertime	musical;film;ballad	3	1935	george gershwin												
T038	there is no greater love	musical;film;ballad	52	1936	isham jones												
T039	stompin at the savoy	bigband;swing;charleston	48	1936	edgar sampson												
T040	easy to love	musical;film;ballad	122	1936	cole porter												
T041	a fine romance	musical;film;ballad	427	1936	jerome kern												
T042	caravan	bigband;swing;charleston		1936	duke ellignton												
T043	sing sing sing	bigband;swing;charleston		1936	luigi prima												
T044	my funny valentine	musical;film;ballad	6	1937	richard rodgers												
T045	easy living	musical;film;ballad	80	1937	ralph rainger												
T046	a foggy day	musical;film;ballad	88	1937	george gershwin												
T047	all the things you are	musical;film;ballad	2	1939	jerome kern												
T048	moonlight serenade	bigband;swing;charleston	882	1939	glenn miller												
T049	in the mood	bigband;swing;charleston	775	1939	glenn miller												
T050	cottontail	bigband;swing;charleston	233	1940	duke ellignton												
T051	a string of pearls	bigband;swing;charleston		1941	jerry gray												
T052	dont get around much anymore	bigband;swing;charleston	104	1942	duke ellignton												
T053	a night in tunisia	bebop	40	1942	dizzy gillespie												
